カード名,仕様,R,型番,タイプ,21-01-25,21-01-26,21-01-27
メモリーカプセル,,U,092/100,グッズ,10,10,10
リセットスタンプ,,UR,068/054,グッズ,"5,500","5,500","5,500"
リセットスタンプ,,-,136/173,グッズ,100,100,100
リセットスタンプ,,-,137/173,グッズ,100,100,100
リセットスタンプ,,U,046/054,グッズ,100,100,100
リセットスタンプ,,-,016/020,グッズ,100,100,100
リセットスタンプ,sC,-,016/021,グッズ,100,100,100
リセットスタンプ,,-,100/127,グッズ,100,100,100
リセットスタンプ,ミラー,-,136/173,グッズ,300,300,300
リセットスタンプ,ミラー,-,137/173,グッズ,300,300,300
リセットスタンプ,SC2,-,016/021,グッズ,100,100,100
ロトムじてんしゃ,ミラー,-,018/024,グッズ,10,10,10
学習装置,,U,057/060,グッズ,10,10,10
学習装置,,-,051/059,グッズ,10,10,10
学習装置,,U,063/070,グッズ,10,10,10
学習装置,,-,020/020,グッズ,10,10,10
学習装置,,U,050/052,グッズ,10,10,10
学習装置,,-,081/082,グッズ,10,10,10
大きなおまもり,,UR,085/070,グッズ,"4,500","4,500","4,500"
大きなおまもり,ミラー,-,018/023,グッズ,"2,000","2,000","2,000"
大きなおまもり,,-,018/023,グッズ,100,100,100
大きなおまもり,,U,056/060,グッズ,100,100,100
大きなおまもり,,-,102/127,グッズ,100,100,100
ウカッツ,,SR,191/190,サポート,250,250,250
ウカッツ,,P,077/S-P,サポート,30,30,30
エール団のしたっぱ,,HR,071/060,サポート,200,200,200
エール団のしたっぱ,,SR,067/060,サポート,400,400,400
エール団のしたっぱ,,P,085/S-P,サポート,30,30,30
エール団のしたっぱ,ミラー,-,019/023,サポート,100,100,100
エール団のしたっぱ,,U,058/060,サポート,30,30,30
エール団のしたっぱ,,-,019/023,サポート,30,30,30
エール団のしたっぱ,,-,107/127,サポート,30,30,30
エリカのおもてなし,,SR,190/173,サポート,"6,400","7,500","7,500"
エリカのおもてなし,,SR,107/095,サポート,"3,000","3,400","3,400"
エリカのおもてなし,,P,324/SM-P,サポート,100,100,100
エリカのおもてなし,,R,084/095,サポート,10,10,10
エリカのおもてなし,,-,018/024,サポート,10,10,10
エリカのおもてなし,,-,146/173,サポート,10,10,10
エリカのおもてなし,,-,108/127,サポート,10,10,10
エリカのおもてなし,ミラー,-,146/173,サポート,30,30,30
おとなのおねえさん,,SR,083/076,サポート,600,600,600
おとなのおねえさん,,HR,089/076,サポート,600,600,700
オニオン,,SR,084/076,サポート,900,900,900
オニオン,,HR,090/076,サポート,800,800,800
オリーヴ,,HR,111/096,サポート,800,800,800
オリーヴ,,SR,105/096,サポート,900,900,900
カブ,,SR,077/070,サポート,900,900,900
カブ,,HR,082/070,サポート,700,700,700
グズマ＆ハラ,,SR,105/095,サポート,"1,400","1,400","1,400"
グズマ＆ハラ,,P,087/S-P,サポート,700,700,700
グズマ＆ハラ,,U,087/095,サポート,200,200,200
サイトウ,,SR,109/100,サポート,"2,700","2,700","2,700"
サイトウ,,HR,116/100,サポート,"2,000","2,000","2,000"
ジムトレーナー,,SR,192/190,サポート,250,250,250
ジムトレーナー,,P,102/S-P,サポート,350,350,350
シロナ＆カトレア,,SR,106/095,サポート,"2,200","2,200","2,200"
シロナ＆カトレア,,P,088/S-P,サポート,350,350,350
シロナ＆カトレア,,U,088/095,サポート,50,50,50
ソッドとシルディ,,P,118/S-P,サポート,10,10,10
ソニア,,HR,082/070,サポート,"2,800","2,800","2,800"
ソニア,,SR,077/070,サポート,"5,000","5,000","5,000"
ソニア,,P,046/S-P,サポート,300,300,300
ソニア,,U,065/070,サポート,50,30,30
ソニア,,-,018/020,サポート,50,30,30
ダンデ,,SR,110/100,サポート,"1,200","1,200","1,200"
ダンデ,,HR,117/100,サポート,"1,300","1,300","1,000"
ダンデ,,R,094/100,サポート,150,150,150
とりつかい,,SR,193/190,サポート,600,600,600
とりつかい,,U,094/100,サポート,10,10,30
とりつかい,,-,172/190,サポート,10,10,30
とりつかい,ミラー,-,172/190,サポート,30,30,30
ナツメ＆ハチク,,P,142/S-P,サポート,150,150,100
ネズ,,SR,194/190,サポート,600,600,600
ネズ,,-,173/190,サポート,10,10,10
ネズ,ミラー,-,173/190,サポート,10,10,10
ネズ,,SR,109/100,サポート,"1,300","1,300","1,300"
ネズ,,HR,115/100,サポート,"1,100","1,100","1,100"
ビート,,SR,068/060,サポート,"1,000","1,000","1,000"
ビート,,HR,072/060,サポート,700,700,700
ビート,ミラー,-,021/024,サポート,30,30,30
ビート,,P,138/S-P,サポート,800,800,800
ビート,未開封,P,138/S-P,サポート,"1,000","1,000","1,000"
フウロ,,SR,195/190,サポート,"3,300","3,300","3,300"
フウロ,SR仕様,P,164/XY-P,サポート,"11,000","11,000","11,000"
フウロ,,SR,076/070,サポート,"14,000","14,000","14,000"
フウロ,ミラー,-,148/171,サポート,50,50,50
フウロ,,U,066/070,サポート,10,10,10
ブルーの探索,,SR,196/173,サポート,"6,200","7,500","7,500"
ブルーの探索,,SR,061/054,サポート,"5,500","6,500","6,500"
ブルーの探索,ミラー,-,154/173,サポート,100,100,100
ブルーの探索,,-,020/024,サポート,50,50,50
ブルーの探索,,U,048/054,サポート,50,50,50
ブルーの探索,,-,154/173,サポート,50,50,50
ボールガイ,,SR,196/190,サポート,600,600,600
ボールガイ,,-,175/190,サポート,10,10,10
ボールガイ,ミラー,-,175/190,サポート,10,10,10
ポケモンごっこ,,SR,197/190,サポート,"2,000","2,000","2,000"
ポケモンセンターのお姉さん,,SR,086/080,サポート,"5,000","5,000","5,000"
ポケモンセンターのお姉さん,ミラー,-,021/023,サポート,30,30,30
ポケモンセンターのお姉さん,ミラー,-,022/024,サポート,30,30,30
ポケモンセンターのお姉さん,SR仕様,P,069/S-P,サポート,"3,000","3,000","3,500"
ポケモンブリーダーの育成,,SR,078/070,サポート,700,700,700
ポケモンブリーダーの育成,,HR,083/070,サポート,600,600,600
ポケモンブリーダーの育成,,U,068/070,サポート,50,50,50
ボスの指令/サカキ,,HR,112/096,サポート,"3,000","3,000","3,000"
ボスの指令/サカキ,,SR,106/096,サポート,"4,000","4,000","4,000"
ボスの指令/サカキ,,R,092/096,サポート,600,600,600
ボスの指令/サカキ,R仕様,-,176/190,サポート,600,600,600
ボスの指令/サカキ,,-,020/033,サポート,500,500,500
ボスの指令/フラダリ,,-,017/020,サポート,500,500,500
ボスの指令/フラダリ,,-,018/021,サポート,500,500,500
ホップ,SR仕様,P,005/S-P,サポート,800,800,800
ホップ,,P,139/S-P,サポート,800,800,800
ホップ,未開封,P,139/S-P,サポート,"1,000","1,000","1,000"
ポプラ,,SR,085/076,サポート,400,400,400
ポプラ,,HR,091/076,サポート,400,400,400
マオ＆スイレン,,SR,107/095,サポート,"3,800","3,800","3,800"
マオ＆スイレン,,P,089/S-P,サポート,800,800,800
マオ＆スイレン,,U,089/095,サポート,250,250,250
マリィ,,SR,198/190,サポート,"22,000","22,000","22,000"
マリィ,,SR,068/060,サポート,"9,000","11,000","12,000"
マリィ,,HR,072/060,サポート,"7,500","7,500","7,500"
マリィ,,P,086/S-P,サポート,800,800,800
マリィ,ミラー,-,023/023,サポート,10,10,50
マリィ,ミラー,-,024/024,サポート,10,10,50
マリィ,,P,140/S-P,サポート,"2,800","2,800","3,000"
マリィ,未開封,P,140/S-P,サポート,"3,200","3,200","3,300"
ヤロー,,HR,083/070,サポート,500,500,500
ヤロー,,SR,078/070,サポート,600,600,600
ヤロー,,P,078/S-P,サポート,100,100,100
ルリナ,,SR,111/100,サポート,"3,300","3,200","3,200"
ルリナ,,HR,118/100,サポート,"2,300","2,000","2,000"
ルリナ,,U,096/100,サポート,10,10,10
ルリナ,,-,020/020,サポート,10,10,10
レッドの挑戦,,SR,201/173,サポート,"2,300","2,500","2,500"
レッドの挑戦,,SR,107/095,サポート,800,800,"1,000"
ローズ,,SR,199/190,サポート,450,450,450
ローズ,,SR,110/100,サポート,800,800,800
ローズ,,HR,116/100,サポート,600,600,600
ローズ,,P,120/S-P,サポート,100,100,100
ローズ,,U,096/100,サポート,10,10,10
ローズ,,-,178/190,サポート,10,10,10
ローズ,ミラー,-,178/190,サポート,10,10,10
博士の研究/マグノリア博士,,SR,067/060,サポート,"2,300","2,300","2,400"
博士の研究/マグノリア博士,,HR,071/060,サポート,"1,800","1,800","1,800"
博士の研究/マグノリア博士,,P,128/S-P,サポート,800,800,800
博士の研究/マグノリア博士,,R,059/060,サポート,10,10,10
博士の研究/マグノリア博士,R仕様,-,174/190,サポート,10,10,10
博士の研究/マグノリア博士,ミラー,-,020/023,サポート,150,150,150
博士の研究/マグノリア博士,ミラー,-,019/023,サポート,150,150,150
博士の研究/マグノリア博士,ミラー,-,020/024,サポート,150,150,150
溶接工,,SR,106/095,サポート,"2,700","2,700","2,700"
溶接工,,SR,200/173,サポート,"1,300","1,400","1,400"
溶接工,,TR,064/064,サポート,350,350,350
溶接工,,-,021/024,サポート,150,150,100
溶接工,,-,157/173,サポート,150,150,100
溶接工,,U,087/095,サポート,150,150,100
溶接工,,-,122/127,サポート,150,150,100
溶接工,,-,023/033,サポート,150,150,100
溶接工,ミラー,-,157/173,サポート,250,250,250
ふくよかミュージシャン,,P,119/S-P,サポート,"1,800","1,800","1,800"
ふくよかミュージシャン,未開封,P,119/S-P,サポート,"2,000","2,000","2,000"
格闘道場,,UR,079/064,スタジアム,"1,700","1,400","1,400"
格闘道場,,U,089/095,スタジアム,10,10,10
格闘道場,,-,023/024,スタジアム,10,10,10
格闘道場,,-,161/173,スタジアム,10,10,10
格闘道場,,-,125/127,スタジアム,10,10,10
格闘道場,,-,024/033,スタジアム,10,10,10
格闘道場,ミラー,-,161/173,スタジアム,50,30,30
ウォッシュ水エネルギー,,U,099/100,エネルギー,10,10,10
オーロラエネルギー,ミラー,-,187/190,エネルギー,30,30,30
キャプチャーエネルギー,,UR,119/100,エネルギー,"2,600","2,600","2,700"
キャプチャーエネルギー,,U,096/096,エネルギー,30,50,50
キャプチャーエネルギー,,-,031/033,エネルギー,30,50,50
キャプチャーエネルギー,,-,188/190,エネルギー,30,50,50
キャプチャーエネルギー,ミラー,-,188/190,エネルギー,50,100,100
コーティング鋼エネルギー,,U,100/100,エネルギー,100,100,150
ストーン闘エネルギー,,U,075/076,エネルギー,150,150,150
ストーン闘エネルギー,,-,028/033,エネルギー,150,150,150
スピード雷エネルギー,,P,049/S-P,エネルギー,10,10,10
スピード雷エネルギー,,U,094/096,エネルギー,10,10,10
スピード雷エネルギー,,-,184/190,エネルギー,10,10,10
スピード雷エネルギー,ミラー,-,184/190,エネルギー,30,30,30
ツインエネルギー,,UR,086/070,エネルギー,"3,000","3,000","3,000"
トリプル加速エネルギー,,UR,116/095,エネルギー,"1,500","1,500","1,500"
トリプル加速エネルギー,ミラー,-,171/173,エネルギー,100,100,100
トリプル加速エネルギー,,U,091/095,エネルギー,30,30,30
トリプル加速エネルギー,,-,171/173,エネルギー,30,30,30
トリプル加速エネルギー,,-,024/024,エネルギー,30,30,30
ハイド悪エネルギー,,U,099/100,エネルギー,10,10,10
ハイド悪エネルギー,,-,186/190,エネルギー,10,10,10
ハイド悪エネルギー,ミラー,-,186/190,エネルギー,30,30,30
ヒート炎エネルギー,ミラー,-,183/190,エネルギー,10,10,10
ホラー超エネルギー,,U,095/096,エネルギー,10,10,10
ホラー超エネルギー,,-,027/033,エネルギー,10,10,10
ホラー超エネルギー,,-,185/190,エネルギー,10,10,10
ホラー超エネルギー,ミラー,-,185/190,エネルギー,30,30,30
フシギバナ＆ツタージャGX,,RR,001/064,草,50,50,50
フシギバナ＆ツタージャGX,,SR,065/064,草,300,300,300
フシギバナ＆ツタージャGX,,HR,074/064,草,"1,000","1,000","1,000"
バタフリー,,U,004/054,草,30,30,30
スピアー,,U,005/095,草,10,10,10
モルフォンGX,,SR,056/055,草,50,50,50
モルフォンGX,,HR,064/055,草,100,100,100
ラフレシアGX,,RR,003/049,草,10,10,10
カイロスGX,RR仕様,-,005/051,草,10,10,10
チコリータ,,P,373/SM-P,草,500,500,500
モクロー,,C,008/095,草,30,30,30
モクロー＆アローラナッシーGX,,RR,001/054,草,"1,200","1,200","1,200"
モクロー＆アローラナッシーGX,,SR,055/054,草,"1,800","1,800","1,800"
モクロー＆アローラナッシーGX,,HR,063/054,草,"2,000","2,000","2,000"
フェローチェ＆マッシブーンGX,,RR,001/173,草,10,10,10
フェローチェ＆マッシブーンGX,,RR,001/054,草,10,10,10
フェローチェ＆マッシブーンGX,,SR,055/054,草,250,250,250
フェローチェ＆マッシブーンGX,,HR,063/054,草,500,500,500
セレビィ＆フシギバナGX,,RR,001/095,草,150,150,150
セレビィ＆フシギバナGX,,SR,096/095,草,350,350,350
セレビィ＆フシギバナGX,,HR,110/095,草,800,800,800
セレビィ,,R,003/094,草,10,10,10
セレビィ,,P,361/SM-P,超,700,700,700
クルミル,,C,006/094,草,10,10,10
ハハコモリ,,U,008/094,草,10,10,10
モロバレル,,U,010/094,草,10,10,10
サルノリ,,P,007/S-P,草,400,400,400
ヒトカゲ,,C,010/095,炎,10,10,10
ヒトカゲ,,C,011/095,炎,10,10,10
リザード,,-,008/051,炎,50,50,50
リザードン,,R,013/095,炎,200,200,200
リザードン,,P,366/SM-P,炎,"5,000","5,000","5,000"
リザードン,未開封,P,366/SM-P,炎,"6,500","6,500","6,500"
リザードン,,U,006/024,炎,400,400,400
リザードンGX,,RR,007/024,炎,300,300,300
リザードンGX,RR仕様,-,009/051,炎,"2,500","2,500","2,500"
リザードン＆テールナーGX,,RR,008/064,炎,200,200,200
リザードン＆テールナーGX,,SR,067/064,炎,"1,100","1,100","2,200"
リザードン＆テールナーGX,,HR,075/064,炎,"3,200","3,200","3,500"
キュウコン,,U,015/095,炎,10,10,10
キュウコン,,-,018/173,炎,10,10,10
キュウコン,ミラー,-,018/173,炎,10,10,10
ウインディ,,R,009/095,炎,10,10,10
ファイヤー,,-,277/SM-P,炎,300,300,300
エンニュート,ミラー,-,027/173,炎,30,30,30
レシラム＆リザードンGX,,RR,016/173,炎,150,150,150
レシラム＆リザードンGX,,RR,007/095,炎,150,150,150
レシラム＆リザードンGX,,SR,096/095,炎,"2,500","2,500","2,500"
レシラム＆リザードンGX,,HR,108/095,炎,"7,000","7,000","7,000"
レシラム＆ゼクロムGX,,RR,036/049,竜,100,50,50
ビクティニ,,-,020/173,炎,10,10,10
ビクティニ,ミラー,-,020/173,炎,50,50,50
ビクティニ,,R,011/054,炎,10,10,10
ビクティニ,,P,340/SM-P,炎,100,100,100
ズガドーン,,U,019/095,炎,50,50,50
ニャビー,,P,374/SM-P,炎,100,100,100
ヒトモシ,,C,005/054,炎,10,10,10
シャンデラ,,R,007/054,炎,50,50,50
シャンデラ,,P,327/SM-P,炎,100,150,150
ボルケニオン,,R,012/095,炎,30,30,30
ボルケニオン,,-,022/173,炎,30,30,30
ボルケニオン,ミラー,-,022/173,炎,100,100,100
ボルケニオン,,P,404/SM-P,炎,"2,300","2,300","2,300"
ヒードランGX,,RR,004/054,炎,100,100,100
ヒードランGX,,SR,055/054,炎,200,200,200
ヒードランGX,,HR,063/054,炎,300,300,300
コータス,,CHR,050/049,炎,50,50,50
ウルガモスGX,,SR,096/095,炎,100,100,100
ウルガモスGX,,HR,109/095,炎,150,150,150
ヒバニー,,P,006/S-P,炎,400,400,400
ヒバニー,,P,034/S-P,炎,400,400,400
ゼニガメ,ミラー,-,029/173,水,10,10,10
カメックスGX,,RR,010/054,水,100,100,100
カメックスGX,,SR,057/054,水,400,400,400
カメックスGX,,HR,064/054,水,"1,200","1,200","1,200"
カメックス＆ポッチャマGX,,RR,016/064,水,200,200,200
カメックス＆ポッチャマGX,,SR,069/064,水,700,700,700
カメックス＆ポッチャマGX,,HR,076/064,水,"1,000","1,000","1,000"
コイキング＆ホエルオーGX,,RR,019/095,水,100,100,100
コイキング＆ホエルオーGX,,SR,098/095,水,250,250,250
コイキング＆ホエルオーGX,,HR,111/095,水,600,600,600
ギャラドス,,R,028/095,水,10,10,10
ギャラドスGX,RR仕様,-,015/051,水,150,150,150
スターミーGX,RR仕様,-,004/031,水,700,700,700
アズマオウ,,U,010/055,水,10,10,10
ヤドン＆コダックGX,,RR,011/094,水,50,50,50
ヤドン＆コダックGX,,SR,095/094,水,200,200,200
ヤドン＆コダックGX,,HR,107/094,水,700,700,700
アローラキュウコン,,P,389/SM-P,妖,100,100,100
アローラキュウコン,,R,056/095,妖,10,10,10
フリーザー,,-,278/SM-P,水,800,800,800
フリーザー,,R,030/095,水,10,10,10
フリーザー,,-,034/173,水,10,10,10
フリーザー,ミラー,-,034/173,水,30,30,30
ポッチャマ,,CHR,052/049,水,600,600,600
ゲッコウガGX,,RR,013/024,水,50,50,50
カプ・レヒレ,ミラー,-,040/173,水,10,10,10
ヨワシ,,CHR,053/049,水,200,200,200
ヨワシGX,,SR,174/173,水,50,50,50
ヨワシGX,,HR,211/173,水,100,100,100
ケルディオGX,,RR,036/173,水,10,10,10
ケルディオGX,,RR,019/054,水,10,10,10
ケルディオGX,,SR,057/054,水,200,200,200
ケルディオGX,,HR,064/054,水,500,500,500
キュレム,,R,011/055,水,10,10,10
フリージオ,,C,018/054,水,30,30,30
フィオネ,,U,022/064,水,50,50,50
ピカチュウ＆ゼクロムGX,,RR,041/173,雷,50,50,50
ピカチュウ＆ゼクロムGX,,RR,031/095,雷,50,50,50
ピカチュウ＆ゼクロムGX,,SR,100/095,雷,"1,600","1,600","1,600"
ピカチュウ＆ゼクロムGX,,HR,112/095,雷,"4,000","4,000","4,000"
ライチュウGX,RR仕様,-,019/051,雷,100,100,100
ライチュウ＆アローラライチュウGX,,RR,008/054,雷,500,500,500
ライチュウ＆アローラライチュウGX,,SR,056/054,雷,900,900,900
ライチュウ＆アローラライチュウGX,,HR,064/054,雷,"1,200","1,200","1,300"
サンダー,,-,279/SM-P,雷,100,100,100
サンダー,,P,305/SM-P,雷,200,200,200
デデンネGX,,RR,048/173,雷,700,800,800
デデンネGX,,RR,016/055,雷,700,800,800
デデンネGX,ノーマル仕様,-,005/033,雷,600,600,600
デデンネGX,,SR,057/055,雷,"1,700","1,700","1,700"
デデンネGX,,HR,065/055,雷,"2,000","2,000","2,000"
デデンネGX,,SR,175/173,雷,"2,800","2,800","2,800"
コイル,,C,021/054,雷,10,10,10
コイル,,CHR,055/049,雷,30,30,30
レアコイル,,R,019/049,雷,30,30,30
ドガース,,CHR,056/049,超,150,150,150
ルージュラ,,U,032/094,超,30,30,30
バリヤード,,C,015/024,超,10,10,10
アローラベトベター,,-,011/031,悪,10,10,10
ベトベトン＆アローラベトベトンGX,,RR,029/095,超,10,10,10
ベトベトン＆アローラベトベトンGX,,SR,098/095,超,200,200,200
ベトベトン＆アローラベトベトンGX,,HR,109/095,超,400,400,400
ゴース,,C,030/095,超,30,30,30
ゲンガー＆ミミッキュGX,,RR,038/095,超,400,400,400
ゲンガー＆ミミッキュGX,,SR,102/095,超,900,900,900
ゲンガー＆ミミッキュGX,,HR,113/095,超,"1,400","1,400","1,400"
ミュウ,,R,037/095,超,50,50,50
ミュウ,,-,055/173,超,50,50,50
ミュウ,ミラー,-,055/173,超,150,200,200
ミュウ,,-,342/SM-P,超,700,800,800
ミュウ,未開封,-,342/SM-P,超,"1,200","1,300","1,300"
ミュウ,,-,026/051,超,250,250,250
ミュウ,古代文字,P,-,超,"5,500","5,500","5,500"
ミュウツー,,R,036/095,超,10,10,10
ミュウツー,,U,016/024,超,150,150,150
ミュウツー,,-,054/173,超,10,10,10
ミュウツー,ミラー,-,054/173,超,100,100,100
ミュウツー,,P,405/SM-P,超,"12,000","12,000","12,000"
ミュウツーGX,,RR,017/024,超,200,200,200
ミュウツーGX,RR仕様,-,025/051,超,200,200,200
ミュウツー＆ミュウGX,,RR,029/094,超,200,200,200
ミュウツー＆ミュウGX,,RR,052/173,超,200,200,200
ミュウツー＆ミュウGX,,SR,097/094,超,"1,800","1,800","1,800"
ミュウツー＆ミュウGX,,HR,108/094,超,"4,500","4,500","4,500"
アーマードミュウツー,,P,365/SM-P,超,"1,400","1,500","1,500"
アーマードミュウツー,未開封,P,365/SM-P,超,"1,600","1,700","1,700"
ソルガレオ＆ルナアーラGX,,RR,020/049,超,100,30,30
アーゴヨンGX,,RR,034/054,竜,30,30,30
アーゴヨンGX,,SR,058/054,竜,300,300,300
アーゴヨンGX,,HR,065/054,竜,500,500,500
アーゴヨン＆アクジキングGX,,RR,066/095,竜,30,30,30
アーゴヨン＆アクジキングGX,,SR,101/095,竜,150,150,150
アーゴヨン＆アクジキングGX,,HR,113/095,竜,400,400,400
ギラティナ,,R,016/054,超,300,300,300
マーシャドー,,R,020/055,超,10,10,30
マーシャドー,,-,064/173,超,10,10,30
マーシャドー,ミラー,-,064/173,超,100,100,100
マーシャドーGX,,RR,064/150,闘,10,10,10
マーシャドー＆カイリキーGX,,RR,042/095,闘,10,10,10
マーシャドー＆カイリキーGX,,SR,100/095,闘,250,250,250
マーシャドー＆カイリキーGX,,HR,110/095,闘,300,300,300
ミミッキュ,,CHR,058/049,超,"1,500","1,500","1,500"
ムウマージ,,U,039/095,超,10,10,10
ニャスパー,,C,040/095,超,10,10,10
ニャスパー,,-,059/173,超,10,10,10
ニャスパー,ミラー,-,059/173,超,10,10,10
オーベム,,U,037/094,超,10,10,10
オーロット＆ヨノワールGX,,RR,053/173,超,30,30,30
オーロット＆ヨノワールGX,,SR,178/173,超,250,250,250
オーロット＆ヨノワールGX,,HR,213/173,超,400,400,400
オドリドリGX,,RR,035/095,超,100,100,100
オドリドリGX,,SR,097/095,超,200,200,200
オドリドリGX,,HR,110/095,超,400,400,400
イワークGX,RR仕様,-,011/031,闘,30,30,30
ハガネール,,CHR,060/049,鋼,150,150,200
サワムラー,,C,054/095,闘,10,10,10
オムナイト,,U,056/095,闘,30,30,30
オムスター,,R,057/095,闘,30,30,30
ルカリオ＆メルメタルGX,,RR,083/173,鋼,30,30,30
ルカリオ＆メルメタルGX,,RR,029/054,鋼,30,30,30
ルカリオ＆メルメタルGX,,SR,058/054,鋼,200,200,200
ルカリオ＆メルメタルGX,,HR,065/054,鋼,500,500,500
メガヤミラミ＆バンギラスGX,,RR,054/094,悪,30,30,30
メガヤミラミ＆バンギラスGX,,SR,101/094,悪,400,400,400
メガヤミラミ＆バンギラスGX,,HR,111/094,悪,600,600,600
アバゴーラGX,,P,356/SM-P,闘,10,10,10
ドリュウズ,,CHR,059/049,闘,30,30,30
ドリュウズ,,R,031/049,闘,10,10,10
ドリュウズ,,U,050/094,闘,30,30,30
フライゴンGX,,RR,044/095,闘,30,30,30
フライゴンGX,,SR,098/095,闘,150,150,150
フライゴンGX,,HR,111/095,闘,200,200,200
ゲッコウガ＆ゾロアークGX,,RR,072/173,悪,10,10,10
ゲッコウガ＆ゾロアークGX,,RR,025/055,悪,10,10,10
ゲッコウガ＆ゾロアークGX,,SR,058/055,悪,300,300,300
ゲッコウガ＆ゾロアークGX,,HR,066/055,悪,600,600,600
アクジキング,,R,046/064,悪,50,50,50
イベルタル,,P,343/SM-P,悪,200,200,200
ニューラ,,-,014/031,悪,10,10,10
ニューラ,,-,073/173,悪,10,10,10
ニューラ,ミラー,-,073/173,悪,30,30,30
マニューラ,,CHR,051/049,水,30,30,30
マニューラGX,RR仕様,-,015/031,悪,500,500,600
マニューラGX,,SR,183/173,悪,600,600,600
マニューラGX,,HR,216/173,悪,700,700,700
ミカルゲ,,R,057/095,悪,10,10,10
ミカルゲ,,-,076/173,悪,10,10,10
ミカルゲ,ミラー,-,076/173,悪,50,50,50
キバニア,,Ｐ,300/SM-P,悪,10,10,10
キバニア,,C,026/055,悪,10,10,10
サメハダー,,U,027/055,悪,10,10,10
ドンカラスGX,,RR,056/095,悪,30,30,30
ドンカラスGX,,SR,102/095,悪,100,100,100
ドンカラスGX,,HR,111/095,悪,100,100,100
クチートGX,,RR,089/173,鋼,50,50,50
クチートGX,,RR,030/054,鋼,50,50,50
クチートGX,,SR,058/054,鋼,600,600,600
クチートGX,,HR,065/054,鋼,"1,200","1,200","1,200"
テッカグヤGX,,SR,060/054,無,50,50,50
テッカグヤGX,,HR,066/054,無,200,200,200
ジラーチGX,RR仕様,-,002/031,超,30,30,30
ジラーチGX,,SR,180/173,超,500,500,500
ジラーチGX,,HR,214/173,超,"1,500","1,500","1,500"
メルタン,,P,284/SM-P,鋼,10,10,10
メルタン,未開封,P,284/SM-P,鋼,150,150,150
メルタン,,P,321/SM-P,鋼,100,150,150
メルメタルGX,,P,285/SM-P,鋼,10,10,10
メルメタルGX,,SR,184/173,鋼,100,100,100
メルメタルGX,,HR,217/173,鋼,500,500,500
アローラサンドパンGX,,P,384/SM-P,水,600,600,600
プクリンGX,RR仕様,-,032/051,妖,100,100,100
ピッピ,,P,381/SM-P,妖,"5,500","6,500","7,000"
サーナイト,,P,408/SM-P,妖,"1,600","1,700","1,700"
サーナイト＆ニンフィアGX,,RR,031/055,妖,50,50,50
サーナイト＆ニンフィアGX,,SR,060/055,妖,600,600,600
サーナイト＆ニンフィアGX,,HR,067/055,妖,"2,000","2,000","2,000"
エルレイド,,CHR,057/049,超,30,30,30
モンメン,,C,062/094,妖,10,10,10
エルフーン,,U,063/094,妖,50,50,50
エルフーンGX,,RR,066/095,妖,100,50,50
エルフーンGX,,SR,103/095,妖,100,100,100
エルフーンGX,,HR,112/095,妖,400,500,500
トゲピー＆ピィ＆ププリンGX,,SR,185/173,妖,200,200,200
トゲピー＆ピィ＆ププリンGX,,HR,218/173,妖,400,500,500
カイリュー,,R,068/094,竜,10,10,10
カイリューGX,,RR,069/094,竜,50,50,50
カイリューGX,,SR,103/094,竜,250,250,250
カイリューGX,,HR,112/094,竜,"1,200","1,200","1,200"
ラティオスGX,,RR,034/094,超,30,30,30
ラティオスGX,,SR,099/094,超,250,250,250
ラティオスGX,,HR,109/094,超,900,900,900
ラティアス＆ラティオスGX,,RR,060/095,竜,50,50,50
ラティアス＆ラティオスGX,,SR,104/095,竜,400,400,400
ラティアス＆ラティオスGX,,HR,114/095,竜,"1,200","1,400","1,400"
ガブリアス＆ギラティナGX,,RR,099/173,竜,10,10,10
ガブリアス＆ギラティナGX,,RR,032/054,竜,10,10,10
ガブリアス＆ギラティナGX,,SR,059/054,竜,400,400,400
ガブリアス＆ギラティナGX,,HR,066/054,竜,700,700,700
アルセウス＆ディアルガ＆パルキアGX,,P,166/S-P,竜,700,700,700
アルセウス＆ディアルガ＆パルキアGX,,RR,065/095,竜,700,700,700
アルセウス＆ディアルガ＆パルキアGX,,SR,099/095,竜,"1,500","1,500","1,500"
アルセウス＆ディアルガ＆パルキアGX,,HR,112/095,竜,"2,100","2,100","2,100"
レックウザ,,-,003/S-P,無,500,600,700
レックウザ,未開封,-,003/S-P,無,"1,000","1,300","1,500"
ファイヤー＆サンダー＆フリーザーGX,,RR,102/173,無,30,30,30
ファイヤー＆サンダー＆フリーザーGX,,RR,035/054,無,30,30,30
ファイヤー＆サンダー＆フリーザーGX,,SR,059/054,無,800,800,800
ファイヤー＆サンダー＆フリーザーGX,,HR,066/054,無,"1,800","1,800","1,800"
イーブイ＆カビゴンGX,,RR,066/095,無,30,30,30
イーブイ＆カビゴンGX,,SR,106/095,無,300,300,300
イーブイ＆カビゴンGX,,HR,115/095,無,"1,000","1,000","1,000"
イーブイ,,P,399/SM-P,無,600,600,600
イーブイ,,P,306/SM-P,無,100,100,100
イーブイ,,P,326/SM-P,無,300,300,300
イーブイ,,P,371/SM-P,無,500,500,500
イーブイ,,P,243/SM-P,無,150,150,150
イーブイ,,P,403/SM-P,無,"1,500","1,500","1,500"
イーブイ,ミラー,-,109/173,無,10,10,10
イーブイGX,RR仕様,-,017/038,無,100,100,100
